Year,Number_of_blooms,Number_of_blooms_biological,Total_bloom_days_calendar,Bloom_days_above_threshold_calendar,Total_bloom_days_biological,Bloom_days_above_threshold_biological,Percent_total_bloom_days_above_threshold,Percent_total_bloom_days_above_threshold_biological,Total_integrated_chl,Bloom_period_integrated_chl,Biological_total_integrated,Biological_bloom_period_integrated,Bloom_year_integrated_chl,Bloom_year_bloom_only_integrated,January_integrated_chl,February_integrated_chl,March_integrated_chl,April_integrated_chl,May_integrated_chl,June_integrated_chl,July_integrated_chl,August_integrated_chl,September_integrated_chl,October_integrated_chl,November_integrated_chl,December_integrated_chl
1998,1,2,25,14,100,67,0.56,0.67,363.21423,32.90641,407.60138,135.43596,32.90641,32.90641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.16282844543457,0.905016303062439,0.0
1999,2,2,146,105,134,84,0.7191780821917808,0.6268656716417911,415.29395,199.26051,415.1234,184.37544,319.6067,199.26051,0.0,10.928915977478027,46.379432678222656,38.160648345947266,2.961625099182129,0.0,0.0,0.0,39.26373291015625,42.48367691040039,12.24006175994873,0.0
2000,3,3,161,91,128,74,0.5652173913043478,0.578125,435.17926,224.09064,423.96823,175.1941,331.19412,224.09064,0.0,2.262775182723999,48.06109619140625,24.974620819091797,0.0,9.255008697509766,45.77803421020508,8.552841186523438,24.91529083251953,45.905555725097656,5.926085472106934,0.0
2001,2,2,83,45,156,94,0.5421686746987951,0.6025641025641025,410.7256,116.67669,434.6369,222.08792,299.76282,116.67669,0.0,0.0,26.82368278503418,11.931598663330078,0.0,0.0,0.0,0.0,8.804492950439453,51.05342483520508,14.195760726928711,0.0
2002,2,2,185,129,157,109,0.6972972972972973,0.6942675159235668,450.15085,269.16922,441.7243,238.19968,349.0833,269.16922,0.0,0.0,38.2296028137207,46.615726470947266,41.708797454833984,14.329462051391602,0.0,6.990684986114502,43.433624267578125,50.28654861450195,18.239561080932617,0.0
2003,2,2,109,62,107,65,0.5688073394495413,0.6074766355140186,421.72202,157.84288,435.73608,164.94441,285.8286,157.84288,0.0,0.0,31.294498443603516,58.80394744873047,21.04298210144043,0.0,0.0,0.0,13.439484596252441,28.427934646606445,0.0,0.0
2004,2,2,100,58,73,34,0.58,0.4657534246575342,431.20114,155.11911,397.4145,93.541306,304.88617,155.11911,0.0,0.8116442561149597,41.50712203979492,67.2042236328125,7.75088357925415,0.0,0.0,0.0,1.0429426431655884,31.35651969909668,0.0,0.0
2005,1,1,46,23,57,23,0.5,0.40350877192982454,402.84192,60.066925,418.27182,81.11854,60.066925,60.066925,0.0,0.0,19.994787216186523,38.406558990478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,3,3,154,98,154,110,0.6363636363636364,0.7142857142857143,449.6147,222.03714,458.20187,222.00217,339.73047,222.03714,0.0,0.0,32.525901794433594,38.99062728881836,3.686521053314209,2.347360610961914,35.97256088256836,0.0,21.478113174438477,52.040260314941406,27.23139190673828,0.0
2007,3,3,151,101,173,104,0.6688741721854304,0.6011560693641619,452.7693,215.36014,442.99982,233.41916,339.07635,215.36014,0.0,0.0,35.006080627441406,37.85114288330078,0.0,7.312287330627441,28.753170013427734,0.0,37.393104553222656,47.796810150146484,14.777661323547363,0.0
