Year,Number_of_blooms,Number_of_blooms_biological,Total_bloom_days_calendar,Bloom_days_above_threshold_calendar,Total_bloom_days_biological,Bloom_days_above_threshold_biological,Percent_total_bloom_days_above_threshold,Percent_total_bloom_days_above_threshold_biological,Total_integrated_chl,Bloom_period_integrated_chl,Biological_total_integrated,Biological_bloom_period_integrated,Bloom_year_integrated_chl,Bloom_year_bloom_only_integrated,January_integrated_chl,February_integrated_chl,March_integrated_chl,April_integrated_chl,May_integrated_chl,June_integrated_chl,July_integrated_chl,August_integrated_chl,September_integrated_chl,October_integrated_chl,November_integrated_chl,December_integrated_chl
1998,2,1,142,81,70,55,0.5704225352112676,0.7857142857142857,310.38916,142.19162,323.60327,78.46028,233.95688,142.19162,0.0,3.508782386779785,22.96876335144043,32.516204833984375,2.209880828857422,0.0,0.0,0.0,33.971584,34.707706,7.346914768218994,0.0
1999,2,3,115,88,167,99,0.7652173913043478,0.592814371257485,340.0448,134.71854,337.00183,182.47911,134.71855,134.71854,0.0,0.0,0.0,0.0,0.0,0.0,5.533825874328613,31.84320640563965,40.974392,36.632755,14.869048118591309,0.0
2000,2,2,166,105,163,120,0.6325301204819277,0.7361963190184049,347.78915,189.55133,349.10052,195.32304,214.95926,189.55133,0.0,0.0,0.0,2.08189058303833,30.059228897094727,13.933290481567383,12.790342330932617,33.43356704711914,40.9833,43.00828,6.40639591217041,0.0
2001,2,2,139,96,172,146,0.6906474820143885,0.8488372093023255,319.13953,153.13593,333.86865,192.2163,233.28673,153.13593,0.0,0.0,13.487542152404785,38.112396240234375,0.0,0.0,0.0,19.657062530517578,32.644394,37.787964,6.381185531616211,0.0
2002,2,2,209,171,177,124,0.8181818181818182,0.7005649717514124,359.12643,247.3937,366.05762,222.0376,258.78284,247.3937,0.0,0.0,0.0,21.229557037353516,37.625518798828125,31.496950149536133,30.99571990966797,25.24822998046875,45.427467,37.50412,10.672191619873047,0.0
2003,2,3,136,88,161,96,0.6470588235294118,0.5962732919254659,344.00278,160.83403,334.77094,176.79388,236.98892,157.99785,0.0,0.0,9.442972183227539,52.598690032958984,4.3027873039245605,0.0,0.0,29.26139259338379,35.43057,22.579119,0.0,2.836185932159424
2004,3,1,136,78,61,41,0.5735294117647058,0.6721311475409836,318.3302,149.55452,309.40063,66.20058,261.75284,153.28348,18.26346206665039,0.0,6.914975166320801,40.58445358276367,15.168828964233398,0.0,0.0,19.34398651123047,34.96518,9.586095,0.0,0.0
2005,1,2,81,47,129,70,0.5802469135802469,0.5426356589147286,327.77234,90.74037,341.28577,149.0509,90.74037,90.74037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.29132652282715,38.843025,26.120876,0.0,0.0
2006,2,3,170,117,228,133,0.6882352941176471,0.5833333333333334,367.83023,209.45126,373.45007,261.7235,272.27432,209.45126,0.0,0.0,31.09874153137207,24.737504959106445,0.0,0.0,25.96341323852539,39.49026870727539,42.328274,36.094482,2.5329079627990723,0.0
2007,3,2,223,125,167,103,0.5605381165919282,0.6167664670658682,367.23218,252.52553,343.23685,190.89624,288.96576,252.52553,0.0,0.0,26.53618812561035,41.02583312988281,28.780315399169922,11.528438568115234,3.5098395347595215,35.763885498046875,42.916965,40.935005,14.229852676391602,0.0
