Year,Number_of_blooms,Number_of_blooms_biological,Total_bloom_days_calendar,Bloom_days_above_threshold_calendar,Total_bloom_days_biological,Bloom_days_above_threshold_biological,Percent_total_bloom_days_above_threshold,Percent_total_bloom_days_above_threshold_biological,Total_integrated_chl,Bloom_period_integrated_chl,Biological_total_integrated,Biological_bloom_period_integrated,Bloom_year_integrated_chl,Bloom_year_bloom_only_integrated,January_integrated_chl,February_integrated_chl,March_integrated_chl,April_integrated_chl,May_integrated_chl,June_integrated_chl,July_integrated_chl,August_integrated_chl,September_integrated_chl,October_integrated_chl,November_integrated_chl,December_integrated_chl
1998,2,2,137,122,213,147,0.8905109489051095,0.6901408450704225,407.11655,208.23769,446.84637,293.69275,356.07056,225.23935,0.0,0.0,0.0,43.89884567260742,2.3915305137634277,0.0,0.0,0.0,11.364648818969727,46.87652,42.75066375732422,54.06268310546875
1999,3,4,217,136,189,119,0.6267281105990783,0.6296296296296297,469.9457,310.93738,453.88553,285.00662,346.2055,295.20367,15.733687400817871,0.0,20.737369537353516,52.60869598388672,27.303512573242188,12.51225471496582,10.260178565979004,27.22521209716797,39.82625961303711,61.824753,32.876609802246094,0.0
2000,4,3,206,122,164,101,0.5922330097087378,0.6158536585365854,437.5204,291.77234,409.02612,231.84084,334.74918,291.77234,0.0,0.0,29.118318557739258,42.76490783691406,38.34764862060547,0.0,24.540708541870117,38.975704193115234,50.3159294128418,58.410973,8.785736083984375,0.0
2001,2,2,183,122,214,147,0.6666666666666666,0.6869158878504673,401.1901,251.55887,438.82806,308.54788,331.25916,251.55887,0.0,0.0,19.053577423095703,26.4466552734375,0.0,0.0,0.0,29.541067123413086,39.219085693359375,58.021496,40.22951126098633,31.65424156188965
2002,2,2,174,104,176,96,0.5977011494252874,0.5454545454545454,422.50824,250.4851,427.96423,249.56415,315.2034,250.4851,0.0,0.0,2.426126718521118,48.292659759521484,42.792198181152344,6.139322280883789,0.0,26.62416648864746,51.152950286865234,45.833637,18.650043487548828,0.0
2003,2,2,139,71,122,79,0.5107913669064749,0.6475409836065574,404.58948,183.82274,403.23257,171.94244,278.4194,183.82274,0.0,0.0,12.87092113494873,51.29456329345703,35.21904754638672,0.0,0.0,0.0,20.367965698242188,41.44021,16.13298225402832,0.0
2004,2,2,118,63,167,99,0.5338983050847458,0.592814371257485,380.09222,164.22318,393.60315,219.90424,246.45966,164.22318,0.0,0.0,15.272716522216797,60.21446990966797,12.442678451538086,0.0,0.0,3.907932996749878,33.814640045166016,33.086323,0.0,0.0
2005,2,3,197,151,176,120,0.766497461928934,0.6818181818181818,429.73813,265.20166,425.92252,231.1495,344.5158,265.20166,0.0,0.0,22.11496353149414,50.42066955566406,41.576438903808594,28.14325523376465,0.0,0.0,28.419069290161133,39.9891,38.02757263183594,7.762765884399414
2006,3,2,191,132,180,140,0.6910994764397905,0.7777777777777778,452.78284,265.5288,445.029,258.53406,361.651,265.5288,0.0,0.0,24.38878059387207,51.40962600708008,36.36503982543945,0.0,0.0,9.539064407348633,43.28363037109375,46.28556,42.55712890625,5.813013553619385
2007,2,2,135,89,149,101,0.6592592592592592,0.6778523489932886,405.07178,191.62039,412.79935,216.15848,290.58908,191.62039,0.0,0.0,10.22031021118164,49.81454086303711,41.185420989990234,0.9020060300827026,0.0,0.0,13.779012680053711,51.9178,17.716527938842773,0.0
