Year,Number_of_blooms,Number_of_blooms_biological,Total_bloom_days_calendar,Bloom_days_above_threshold_calendar,Total_bloom_days_biological,Bloom_days_above_threshold_biological,Percent_total_bloom_days_above_threshold,Percent_total_bloom_days_above_threshold_biological,Total_integrated_chl,Bloom_period_integrated_chl,Biological_total_integrated,Biological_bloom_period_integrated,Bloom_year_integrated_chl,Bloom_year_bloom_only_integrated,January_integrated_chl,February_integrated_chl,March_integrated_chl,April_integrated_chl,May_integrated_chl,June_integrated_chl,July_integrated_chl,August_integrated_chl,September_integrated_chl,October_integrated_chl,November_integrated_chl,December_integrated_chl
1998,1,2,117,101,182,157,0.8632478632478633,0.8626373626373627,428.5351,187.36787,472.67465,295.10538,82.1117172241211,82.1117172241211,48.926228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.801536560058594,46.70617,54.7628
1999,3,3,189,136,185,96,0.7195767195767195,0.518918918918919,468.09937,287.02567,458.6501,268.98007,592.6356811523438,414.03631591796875,51.304718,40.669795989990234,52.636070251464844,49.03464126586914,4.988123893737793,0.0,0.0,0.0,1.0903269052505493,42.375885009765625,45.6832,41.55358
2000,3,2,184,111,211,180,0.6032608695652174,0.8530805687203792,506.69452,279.97455,526.1426,340.90967,432.0467224121094,206.64422607421875,45.634228,24.405550003051758,27.47606658935547,33.097442626953125,0.0,0.0,0.0,0.0,0.0,42.64792251586914,42.961258,58.53016
2001,1,1,178,156,201,169,0.8764044943820225,0.8407960199004975,472.4881,280.1166,469.99182,302.24075,284.3145751953125,284.3145751953125,54.74189,46.0418586730957,44.5774040222168,43.360694885253906,0.0,0.0,0.0,0.0,0.0,0.0,40.48253,45.055073
2002,3,5,253,188,223,132,0.7430830039525692,0.5919282511210763,506.4309,373.51868,496.63754,335.26086,572.6055908203125,455.5509338378906,47.79074,41.566009521484375,50.0323486328125,43.91838073730469,10.531328201293945,13.908133506774902,38.59318923950195,0.0,1.8471009731292725,40.916542053222656,48.224575,39.26288
2003,3,2,213,142,233,167,0.6666666666666666,0.7167381974248928,480.70386,323.10712,488.6911,362.22482,208.39288330078125,183.54385375976562,50.746212,21.095468521118164,48.40488815307617,41.491424560546875,10.591949462890625,0.0,0.0,0.0,7.172774791717529,39.777076721191406,45.21613,51.13527
2004,3,3,214,136,176,97,0.6355140186915887,0.5511363636363636,468.67426,330.94427,433.66034,249.09286,595.8491821289062,480.1685791015625,58.39823,35.21101760864258,49.02451705932617,55.78178787231445,10.736248970031738,0.0,0.0,0.0,6.166032314300537,41.83196258544922,48.444298,17.230932
2005,3,1,184,134,195,173,0.7282608695652174,0.8871794871794871,469.36627,301.9452,498.08127,346.03848,638.9815673828125,477.1876220703125,34.86934,12.622051239013672,47.83126449584961,32.5279426574707,0.0,0.0,0.0,0.0,0.0,41.643707275390625,62.994312,60.648018
2006,0,2,201,167,225,185,0.8308457711442786,0.8222222222222222,479.3955,320.25903,504.76288,357.7951,0.0,0.0,56.433956,45.77271270751953,49.38047790527344,16.617849349975586,0.0,0.0,0.0,0.0,2.6178009510040283,43.538578033447266,51.96618,44.66082
2007,3,3,231,179,226,167,0.7748917748917749,0.7389380530973452,502.04004,356.7732,490.51178,347.16357,645.809814453125,502.94549560546875,52.455917,40.90621566772461,52.06051254272461,48.6695442199707,11.143876075744629,0.0,0.0,0.0,9.921138763427734,42.09938430786133,48.483944,45.04891
