Year,Number_of_blooms,Number_of_blooms_biological,Total_bloom_days_calendar,Bloom_days_above_threshold_calendar,Total_bloom_days_biological,Bloom_days_above_threshold_biological,Percent_total_bloom_days_above_threshold,Percent_total_bloom_days_above_threshold_biological,Total_integrated_chl,Bloom_period_integrated_chl,Biological_total_integrated,Biological_bloom_period_integrated,Bloom_year_integrated_chl,Bloom_year_bloom_only_integrated,January_integrated_chl,February_integrated_chl,March_integrated_chl,April_integrated_chl,May_integrated_chl,June_integrated_chl,July_integrated_chl,August_integrated_chl,September_integrated_chl,October_integrated_chl,November_integrated_chl,December_integrated_chl
1998,1,1,150,127,136,112,0.8466666666666667,0.8235294117647058,453.61438,243.54807,428.50247,218.58700561523438,241.07867431640625,241.07867431640625,55.523808,46.12312698364258,49.202178955078125,41.8895378112793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.85787582397461
1999,1,1,199,159,128,98,0.7989949748743719,0.765625,460.54895,318.4964,461.04605,207.7534942626953,218.58700561523438,218.58700561523438,52.310078,44.58964920043945,49.40113067626953,19.27785301208496,0.0,0.0,0.0,0.0,0.0,41.880062103271484,50.98491668701172,50.1836051940918
2000,2,2,63,45,117,94,0.7142857142857143,0.8034188034188035,474.5823,105.275444,507.09937,197.80792236328125,588.86474609375,255.06866455078125,51.061565,5.49912166595459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.785442352294922,56.957427978515625
2001,2,1,167,135,126,85,0.8083832335329342,0.6746031746031746,531.9331,276.27582,498.2384,200.941650390625,605.5958251953125,351.43438720703125,54.859318,44.96435546875,47.32360076904297,0.0,0.0,0.0,0.0,0.0,0.0,19.6470947265625,46.267921447753906,56.662227630615234
2002,1,2,140,111,221,191,0.7928571428571428,0.8642533936651584,502.7255,227.3919,569.5768,382.6390380859375,215.70291137695312,215.70291137695312,48.268726,23.66057777404785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3446159362793,54.41873550415039,47.65861892700195
2003,2,2,243,177,172,108,0.7283950617283951,0.627906976744186,589.9489,414.14423,541.3806,291.7496032714844,363.8846740722656,227.51580810546875,54.399364,39.11101531982422,54.913490295410156,57.99338912963867,15.77108097076416,0.0,0.0,18.57733726501465,40.336402893066406,13.01058292388916,47.13907241821289,63.6215934753418
2004,2,1,156,126,147,130,0.8076923076923077,0.8843537414965986,506.2425,281.63828,487.05643,269.3585205078125,725.1326293945312,500.5284423828125,61.61629,38.56304931640625,0.0,0.0,0.0,0.0,0.0,0.0,5.470505237579346,56.677886962890625,60.466182708740234,51.37904357910156
2005,1,1,139,124,195,169,0.8920863309352518,0.8666666666666667,519.6765,297.24353,573.9507,406.5382080078125,406.5382080078125,406.5382080078125,58.775265,27.332103729248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.70784378051758,84.06947326660156,67.97920989990234
2006,1,2,202,161,194,163,0.7970297029702971,0.8402061855670103,529.64966,346.8404,538.17737,334.4459228515625,57.89094543457031,57.89094543457031,64.59487,49.68327713012695,54.53638458251953,20.991580963134766,0.0,0.0,0.0,0.0,3.2595953941345215,46.069313049316406,50.04346466064453,49.32914352416992
2007,2,4,188,149,255,130,0.7925531914893617,0.5098039215686274,521.7906,317.44748,495.8545,379.3473205566406,670.4908447265625,466.147705078125,64.858574,54.0987663269043,47.134639739990234,9.54037094116211,0.0,0.0,0.0,0.0,0.0,32.225799560546875,47.52046203613281,53.21936798095703
2008,5,2,326,199,196,159,0.6104294478527608,0.8112244897959183,580.5857,532.74225,557.84045,352.070556640625,587.1353759765625,541.8251953125,48.62824,43.18903350830078,50.14980697631836,40.07380294799805,43.907169342041016,13.120877265930176,8.85101318359375,59.49357986450195,63.60834884643555,45.59275436401367,50.34015655517578,57.633663177490234
2009,1,1,126,104,156,118,0.8253968253968254,0.7564102564102564,516.5012,217.13678,515.9449,266.9273681640625,266.9273681640625,266.9273681640625,52.538773,4.218305587768555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.11306381225586,50.31586837768555,62.06129837036133
2010,1,1,177,137,144,110,0.7740112994350282,0.7638888888888888,557.90576,332.73175,550.465,280.62677001953125,280.62677001953125,280.62677001953125,52.344513,43.09465026855469,7.034607887268066,0.0,0.0,0.0,0.0,0.0,25.426769256591797,52.086551666259766,62.72283172607422,80.35569763183594
2011,1,2,201,163,275,231,0.8109452736318408,0.84,574.2335,384.2815,626.11584,534.228271484375,493.3184814453125,493.3184814453125,50.18123,0.0,0.0,0.0,0.0,0.0,13.293434143066406,57.49571228027344,52.58253479003906,57.36858367919922,69.87387084960938,71.97552490234375
2012,2,2,179,150,204,148,0.8379888268156425,0.7254901960784313,512.8986,333.15466,512.2299,339.612060546875,511.69110107421875,334.5708312988281,73.438354,54.62715148925781,47.0637092590332,20.932994842529297,0.0,0.0,0.0,0.0,0.0,17.148691177368164,56.17490005493164,56.73099899291992
2013,1,1,197,143,130,121,0.7258883248730964,0.9307692307692308,513.5349,313.18298,490.7718,217.59088134765625,45.95100402832031,45.95100402832031,50.088585,49.184783935546875,45.71541976928711,38.71827697753906,15.444809913635254,0.0,0.0,0.0,0.0,5.418933868408203,50.732913970947266,49.90806579589844
2014,1,2,144,130,182,156,0.9027777777777778,0.8571428571428571,481.11462,247.60739,494.49063,326.7889099121094,217.59088134765625,217.59088134765625,50.928257,46.8394889831543,5.734438896179199,0.0,0.0,0.0,0.0,0.0,0.0,27.78754234313965,50.97372817993164,58.706153869628906
2015,4,3,242,157,210,124,0.6487603305785123,0.5904761904761905,542.13074,400.39877,532.5012,345.94091796875,595.923828125,499.8190002441406,58.982773,46.44822692871094,48.85853576660156,25.787065505981445,0.0,0.0,18.130599975585938,54.57710647583008,50.709869384765625,47.41901397705078,0.0,43.60515213012695
2016,1,2,104,82,119,96,0.7884615384615384,0.8067226890756303,492.32867,182.99924,499.79218,193.64756774902344,172.91085815429688,172.91085815429688,61.481693,50.93171310424805,12.030685424804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.581951141357422,51.48149490356445
2017,4,3,138,104,149,93,0.7536231884057971,0.6241610738255033,522.0914,220.63686,515.2512,235.53231811523438,662.566650390625,361.11212158203125,50.42989,43.33043670654297,42.43849182128906,0.0,0.0,0.0,0.0,0.0,0.0,10.49418830871582,48.4009895324707,51.23637008666992
2018,2,1,183,120,133,105,0.6557377049180327,0.7894736842105263,502.52173,303.67502,503.55743,242.6553955078125,509.5699157714844,310.7231750488281,49.320194,40.20555114746094,48.058719635009766,4.869288921356201,0.0,0.0,0.0,0.0,0.0,36.68672561645508,56.513790130615234,59.45631790161133
